Co,O,Ni,Gd
2975,7572,79,14274
2978,7367,88,14247
2989,7192,97,14232
3002,6984,107,14224
3002,6829,113,14212
3094,6763,123,14181
2984,6570,114,14198
2936,6472,109,14212
2876,6362,98,14239
2855,6279,88,14265
2834,6174,83,14277
2794,6067,74,14294
2752,5988,69,14311
2728,5898,62,14346
2703,5810,54,14368
2685,5705,43,14383
2648,5633,33,14395
2612,5548,25,14414
2581,5434,17,14427
2556,5348,8,14447
2523,5253,0,14458
2498,5161,0,14480
2481,5084,0,14500
2460,5003,0,14506
2449,4913,0,14523
2517,4897,0,14537
2500,4870,0,14555
2421,4871,0,14557
2351,4912,0,14570
2304,4966,0,14585
2242,5012,0,14588
2182,5071,0,14580
2139,5101,0,14581
2086,5176,0,14593
2042,5213,0,14602
1993,5276,0,14615
1945,5325,0,14607
1908,5374,0,14607
1843,5437,0,14618
1792,5492,0,14619
1753,5552,0,14613
1700,5618,1,14632
1652,5666,3,14642
1611,5722,6,14637
1579,5773,7,14641
1550,5853,9,14656
1599,5887,10,14650
1733,5784,8,14645
1938,5658,6,14631
2092,5535,4,14621
2246,5430,4,14613
2443,5300,10,14604
2608,5203,15,14600
2778,5102,21,14597
2950,4992,27,14591
3136,4878,34,14565
3293,4777,39,14553
3472,4667,43,14545
3665,4570,50,14530
3821,4459,55,14511
3995,4342,62,14479
4192,4216,70,14491
4345,4127,76,14491
4523,4035,80,14485
4692,3941,87,14456
4895,3838,92,14434
5110,3872,98,14423
4908,3793,92,14432
4703,3753,87,14413
4540,3726,80,14400
4381,3695,76,14392
4205,3631,70,14391
4039,3618,62,14379
3900,3600,55,14370
3741,3548,50,14350
3547,3518,43,14355
3399,3497,39,14314
3233,3461,34,14303
3058,3445,27,14297
2913,3420,21,14299
2748,3392,15,14294
2569,3370,9,14273
2417,3331,2,14249
2265,3322,0,14230
2108,3285,0,14231
1927,3259,0,14209
1796,3284,0,14188
1756,3294,0,14182
1705,3408,0,14177
1675,3526,0,14172
1651,3640,0,14169
1620,3797,0,14140
1594,3926,7,14109
1576,4060,12,14090
1567,4219,16,14078
1539,4377,23,14072
1515,4501,29,14053
1494,4634,34,14042
1478,4797,38,14002
1455,4924,42,13991
1447,5062,47,13993
1429,5232,53,13979
1417,5370,56,13962
1396,5514,62,13942
1369,5687,70,13930
1385,5819,75,13899
1401,5949,79,13872
1407,6065,80,13859
1336,6194,76,13896
1259,6305,70,13921
1185,6439,65,13934
1094,6587,61,13958
1026,6710,63,13997
954,6833,66,14013
865,6978,73,14036
793,7119,79,14067
724,7229,83,14081
647,7372,87,14085
570,7511,93,14100
497,7647,95,14149
427,7773,101,14190
342,7920,105,14185
275,8051,111,14196
207,8178,116,14216
133,8332,127,14248
71,8455,137,14278
16,8600,147,14292
3,8769,156,14304
91,8559,147,14314
280,8417,140,14320
473,8271,131,14330
697,8112,121,14342
915,7966,118,14344
1126,7827,110,14338
1377,7664,105,14333
1582,7530,100,14352
1793,7395,92,14371
2011,7253,86,14375
2254,7087,83,14391
2465,6949,77,14398
2686,6820,70,14416
2921,6649,62,14425
3143,6497,57,14418
3357,6367,50,14420
3606,6235,51,14443
3820,6078,54,14447
4031,5952,56,14446
4238,5890,57,14452
4247,5884,54,14444
4194,5968,50,14433
