Co,Si,Pt,O,Ni,Gd,Al
0,230,0,101,313,5009,0
0,225,0,99,310,5010,0
0,195,0,99,339,4995,0
0,166,0,104,368,4993,0
0,140,0,107,401,4975,0
0,116,0,109,438,4980,0
0,85,0,111,468,4955,0
0,58,0,119,506,4953,0
0,30,0,121,544,4952,0
0,7,0,130,586,4935,0
0,0,0,141,646,4919,0
0,0,0,128,864,4870,0
0,0,0,107,1150,4809,0
0,0,0,92,1420,4748,0
0,0,0,73,1698,4700,0
0,0,0,58,1993,4641,0
0,0,0,42,2265,4595,0
0,2,0,27,2555,4530,0
0,4,0,10,2820,4470,0
0,6,0,0,3111,4406,0
0,6,0,0,3453,4327,0
6,4,0,0,3865,4218,0
18,2,0,0,4254,4100,0
30,0,0,0,4664,3990,0
41,0,0,0,5051,3882,0
50,0,0,0,5468,3771,0
65,0,0,0,5854,3662,0
79,0,0,0,6269,3556,0
88,0,0,0,6661,3450,0
109,0,0,0,7048,3312,0
550,0,0,5,7287,3096,0
1083,0,0,14,7538,2864,0
1582,0,0,29,7775,2646,0
2100,0,0,41,8018,2421,0
2600,0,0,54,8267,2210,0
3121,0,0,68,8518,1990,0
3629,0,0,81,8756,1765,0
4146,0,0,96,9017,1541,0
4635,0,0,109,9244,1319,0
5239,0,0,105,9426,1159,0
5856,0,2,101,9544,1053,0
6533,0,12,105,9676,918,0
7152,0,22,103,9796,814,0
7813,0,35,104,9915,684,0
8445,0,47,107,10041,562,0
9120,0,62,107,10163,440,0
9781,0,71,106,10299,322,0
10406,0,81,111,10422,211,0
11052,0,89,122,10501,159,0
11582,0,76,116,10444,142,0
12131,0,64,115,10394,118,0
12638,0,55,110,10331,98,0
13186,0,43,110,10268,76,0
13703,0,32,110,10210,55,0
14261,0,24,105,10158,36,0
14781,0,15,108,10097,11,0
15315,0,11,109,10032,0,0
15828,0,13,113,9987,0,0
16411,0,12,134,9876,0,0
16936,0,8,160,9768,0,0
17492,0,5,191,9651,0,0
18023,0,8,223,9536,0,0
18598,0,11,251,9421,0,0
19125,0,17,285,9310,0,0
19696,0,24,319,9191,0,0
20222,0,29,348,9092,0,0
20781,0,35,382,8965,0,0
21062,0,40,425,8886,0,0
20457,0,50,552,8903,0,0
19898,0,71,681,8935,0,0
19283,0,98,826,8951,0,0
18732,0,120,953,8972,0,0
18118,0,149,1101,9000,0,0
17555,0,177,1231,9019,0,0
16953,0,208,1376,9049,0,0
16393,0,240,1501,9067,0,0
15775,0,271,1649,9092,0,0
15764,0,251,1774,9232,0,0
15942,0,226,1922,9417,0,0
16106,0,219,2065,9595,0,0
16259,0,203,2202,9777,0,0
16422,0,185,2352,9953,0,0
16570,0,174,2485,10144,0,0
16744,0,173,2629,10326,0,0
16898,0,167,2763,10496,0,0
17067,0,169,2904,10683,0,0
17160,0,181,2981,10901,0,0
17130,0,234,2930,11283,0,0
17091,0,285,2885,11619,0,0
17051,0,351,2828,12006,0,0
17021,0,410,2783,12350,0,0
16982,0,473,2726,12722,0,0
16956,0,530,2677,13061,0,0
16914,0,595,2624,13434,0,0
16874,0,654,2573,13785,0,0
16844,0,715,2523,14163,0,0
16866,0,672,2627,14044,0,0
16892,0,662,2770,13849,0,0
16896,0,674,2903,13653,0,0
16923,0,678,3050,13457,0,0
16947,0,683,3185,13274,0,0
16953,0,684,3321,13078,0,0
16976,0,696,3456,12886,0,0
17006,0,703,3596,12681,0,0
17015,0,718,3724,12501,0,0
17082,0,745,3819,12359,0,0
17213,0,742,3807,12319,0,0
17338,0,770,3801,12288,0,0
17460,0,783,3791,12248,0,0
17603,0,805,3777,12219,0,0
17742,0,827,3766,12182,0,0
17859,0,850,3756,12149,0,0
17983,0,878,3749,12113,0,0
18120,0,910,3742,12080,0,0
18244,0,985,3729,12047,0,0
18054,0,900,3802,11981,0,0
17838,0,851,3893,11909,0,0
17619,0,814,3978,11844,0,0
17392,0,785,4068,11763,0,0
17176,0,743,4148,11695,0,0
16952,0,715,4239,11626,0,0
16734,0,681,4325,11558,0,0
16494,0,638,4414,11491,0,0
16286,0,612,4503,11414,0,0
16316,0,607,4538,11310,0,0
16662,0,549,4498,11145,0,0
17031,0,503,4448,10968,0,0
17382,0,452,4409,10804,0,0
17755,0,413,4366,10628,0,0
18095,0,366,4330,10464,0,0
18472,0,321,4290,10295,0,0
18816,0,266,4245,10122,0,0
19187,0,221,4203,9949,0,0
19535,0,225,4165,9786,0,0
19778,0,202,4179,10020,0,0
19984,0,191,4188,10266,0,0
20210,0,192,4200,10528,0,0
20431,0,185,4211,10770,0,0
20649,0,190,4229,11036,0,0
20860,0,182,4235,11285,0,0
21094,0,182,4256,11548,0,0
21298,0,183,4266,11792,0,0
21529,0,203,4286,12066,0,0
21519,0,216,4327,12221,0,0
21272,0,219,4404,12285,0,0
21016,0,233,4488,12357,0,0
20769,0,245,4557,12430,0,0
20520,0,261,4643,12499,0,0
20279,0,277,4717,12561,0,0
20021,0,295,4793,12632,0,0
19778,0,306,4869,12698,0,0
19528,0,325,4945,12772,0,0
19297,0,348,5021,12841,0,0
19090,0,306,5026,12762,0,0
18930,0,265,5026,12678,0,0
18741,0,223,5027,12609,0,0
18567,0,180,5025,12542,0,0
18380,0,140,5029,12461,0,0
18204,0,101,5029,12392,0,0
18033,0,60,5031,12311,0,0
17853,0,25,5030,12252,0,0
17677,0,0,5033,12170,0,0
17305,0,0,4981,12122,0,0
16755,0,46,4882,12094,0,0
16234,0,107,4786,12052,0,0
15670,0,171,4690,12002,0,0
15156,0,228,4591,11974,0,0
14601,0,290,4500,11944,0,0
14070,0,344,4406,11909,0,0
13515,0,410,4309,11879,0,0
12994,0,465,4205,11839,0,0
12528,0,520,4119,11809,0,0
13140,0,468,4178,11797,0,0
13808,0,427,4241,11783,0,0
14461,0,388,4304,11784,0,0
15075,0,362,4356,11769,0,0
15749,0,321,4417,11758,0,0
16364,0,297,4475,11756,0,0
17024,0,264,4536,11736,0,0
17643,0,230,4590,11737,0,0
18303,0,221,4652,11721,0,0
18488,0,213,4703,11769,0,0
18410,0,190,4756,11857,0,0
18351,0,170,4815,11936,0,0
18265,0,153,4877,12014,0,0
18202,0,138,4925,12094,0,0
18121,0,128,4978,12176,0,0
18057,0,113,5035,12260,0,0
17986,0,97,5098,12335,0,0
17907,0,94,5146,12428,0,0
17819,0,103,5178,12491,0,0
17685,0,90,5081,12452,0,0
17532,0,76,4977,12429,0,0
17384,0,63,4885,12391,0,0
17241,0,50,4780,12362,0,0
17100,0,40,4682,12334,0,0
16952,0,31,4579,12304,0,0
16809,0,24,4483,12276,0,0
16668,0,17,4377,12247,0,0
16521,0,21,4283,12212,0,0
16511,0,40,4243,12133,0,0
16556,0,90,4241,12064,0,0
16632,0,160,4240,11971,0,0
16683,0,225,4237,11879,0,0
16737,0,303,4246,11797,0,0
16800,0,374,4232,11699,0,0
16854,0,459,4230,11609,0,0
16912,0,532,4228,11519,0,0
16989,0,601,4223,11431,0,0
16962,0,655,4223,11389,0,0
16640,0,608,4164,11548,0,0
16272,0,555,4107,11710,0,0
15949,0,510,4055,11859,0,0
15600,0,458,4003,12028,0,0
15267,0,419,3958,12178,0,0
14913,0,371,3898,12345,0,0
14578,0,328,3849,12490,0,0
14240,0,293,3792,12665,0,0
13904,0,260,3738,12814,0,0
14209,0,252,3813,12938,0,0
14723,0,250,3926,13018,0,0
15271,0,261,4043,13118,0,0
15786,0,267,4157,13206,0,0
16332,0,269,4278,13303,0,0
16862,0,276,4386,13391,0,0
17411,0,278,4506,13496,0,0
17923,0,291,4616,13571,0,0
18477,0,293,4734,13678,0,0
18841,0,296,4816,13656,0,0
18721,0,275,4787,13226,0,0
18595,0,267,4763,12832,0,0
18471,0,262,4735,12415,0,0
18357,0,270,4704,12019,0,0
18221,0,269,4672,11590,0,0
18107,0,270,4650,11200,0,0
17986,0,267,4624,10772,0,0
17864,0,270,4590,10381,0,0
17737,0,292,4564,9951,0,0
17226,0,270,4581,10136,0,0
16669,0,233,4618,10455,0,0
16054,0,201,4655,10798,0,0
15493,0,165,4693,11122,0,0
14879,0,132,4726,11484,0,0
14323,0,102,4760,11804,0,0
13712,0,71,4796,12149,0,0
13147,0,42,4832,12474,0,0
12535,0,24,4868,12818,0,0
12327,0,26,4865,13033,0,0
12911,0,50,4764,12944,0,0
13475,0,85,4672,12886,0,0
14077,0,128,4568,12793,0,0
14637,0,173,4476,12716,0,0
15250,0,223,4377,12649,0,0
15807,0,267,4282,12580,0,0
16414,0,326,4183,12492,0,0
16968,0,378,4087,12425,0,0
17574,0,432,3989,12347,0,0
17556,0,405,4059,12119,0,0
17436,0,385,4168,11851,0,0
17324,0,369,4264,11600,0,0
17196,0,356,4377,11313,0,0
17085,0,338,4476,11059,0,0
16959,0,314,4581,10786,0,0
16833,0,301,4684,10530,0,0
16710,0,294,4796,10261,0,0
16605,0,295,4891,10007,0,0
16523,0,287,4942,9932,0,0
16525,0,294,4888,10216,0,0
16520,0,302,4831,10517,0,0
16506,0,310,4775,10797,0,0
16504,0,329,4720,11097,0,0
16515,0,332,4667,11398,0,0
16513,0,341,4610,11673,0,0
16501,0,350,4557,11972,0,0
16504,0,368,4500,12244,0,0
16504,0,416,4438,12555,0,0
16764,0,398,4467,12379,0,0
17063,0,434,4513,12158,0,0
17338,0,491,4550,11962,0,0
17639,0,548,4582,11734,0,0
17917,0,609,4623,11535,0,0
18215,0,666,4663,11318,0,0
18491,0,723,4700,11107,0,0
18790,0,783,4738,10885,0,0
19073,0,832,4777,10687,0,0
19030,0,853,4790,10599,0,0
18558,0,763,4779,10697,0,0
18041,0,684,4755,10793,0,0
17593,0,604,4738,10888,0,0
17090,0,520,4726,10996,0,0
16618,0,439,4712,11077,0,0
16112,0,366,4701,11180,0,0
15640,0,288,4676,11280,0,0
15150,0,202,4668,11380,0,0
14671,0,179,4645,11472,0,0
14823,0,189,4696,11623,0,0
15004,0,212,4748,11785,0,0
15201,0,243,4800,11941,0,0
15395,0,280,4844,12084,0,0
15583,0,322,4905,12247,0,0
15779,0,355,4944,12383,0,0
15976,0,392,5004,12544,0,0
16175,0,432,5052,12717,0,0
16360,0,472,5103,12852,0,0
16434,0,472,5037,12974,0,0
16415,0,449,4861,13040,0,0
16390,0,442,4682,13110,0,0
16356,0,434,4505,13176,0,0
16335,0,411,4325,13247,0,0
16314,0,407,4148,13319,0,0
16293,0,395,3962,13385,0,0
16269,0,388,3796,13463,0,0
16236,0,391,3609,13528,0,0
16225,0,419,3444,13604,0,0
16312,0,379,3488,13397,0,0
16421,0,369,3538,13199,0,0
16518,0,369,3595,13005,0,0
16614,0,370,3646,12822,0,0
16729,0,377,3697,12615,0,0
16831,0,381,3736,12430,0,0
16920,0,391,3798,12231,0,0
17019,0,390,3841,12041,0,0
17128,0,410,3895,11840,0,0
17121,0,431,3944,11750,0,0
17033,0,495,3998,11738,0,0
16937,0,604,4043,11746,0,0
16852,0,724,4094,11742,0,0
