Co,O,Ni,Gd
108,737,9654,6061
120,769,9607,6078
136,805,9539,6065
136,793,9564,6016
122,727,9717,5906
108,654,9882,5810
93,586,10029,5702
81,527,10186,5584
66,462,10342,5501
55,399,10491,5378
47,339,10645,5279
37,278,10788,5183
24,219,10970,5090
22,164,11113,4960
26,148,11276,4941
53,149,11425,4989
102,156,11568,5052
144,156,11719,5103
191,166,11866,5170
236,171,12039,5236
292,172,12170,5287
339,181,12324,5350
388,181,12485,5413
442,197,12643,5479
482,214,12771,5514
504,240,13020,5512
549,328,13349,5445
595,406,13636,5381
643,508,13968,5336
698,598,14293,5264
746,686,14584,5218
811,777,14899,5143
866,873,15220,5090
921,959,15522,5009
977,1052,15857,4964
1064,1161,16163,4910
1078,1116,16445,4867
1098,1011,16663,4801
1143,894,16924,4776
1181,780,17172,4727
1221,668,17410,4673
1273,552,17637,4640
1310,435,17891,4598
1359,327,18109,4559
1411,213,18373,4510
1463,100,18616,4476
1531,8,18839,4436
1492,0,19073,4368
1417,4,19269,4290
1359,11,19490,4232
1300,25,19693,4158
1251,39,19906,4083
1191,50,20131,4003
1150,61,20317,3941
1094,75,20528,3871
1053,91,20734,3788
1003,100,20936,3717
964,115,21146,3648
1016,180,21034,3603
1169,332,20784,3596
1348,499,20570,3554
1552,682,20319,3537
1740,844,20076,3507
1909,1008,19859,3495
2100,1183,19607,3460
2300,1361,19378,3437
2471,1514,19135,3407
2676,1705,18907,3380
2902,1889,18656,3370
2774,1773,18947,3345
2574,1598,19373,3304
2393,1424,19804,3280
2234,1269,20189,3240
2057,1097,20630,3201
1888,919,21065,3159
1722,744,21480,3142
1578,582,21896,3108
1415,427,22328,3074
1270,248,22751,3033
1174,142,23147,3011
1273,154,23037,2938
1511,194,22856,2864
1737,232,22683,2794
1996,284,22480,2715
2242,335,22275,2637
2483,379,22110,2557
2731,430,21920,2489
2987,485,21720,2431
3264,532,21521,2341
3508,583,21335,2267
3829,640,21145,2227
3842,598,21505,2180
3958,577,21913,2172
4086,566,22333,2141
4239,550,22755,2150
4345,541,23145,2122
4492,530,23559,2114
4633,520,23997,2096
4774,506,24422,2104
4902,506,24808,2096
5074,505,25246,2085
5304,541,25684,2096
5211,524,25763,2031
5218,519,25886,1973
5252,525,26008,1917
5285,525,26142,1880
5270,533,26246,1816
5332,533,26361,1755
5345,540,26480,1716
5363,543,26594,1677
5395,547,26723,1628
5433,563,26861,1586
5544,604,26972,1578
5589,640,27172,1549
5714,735,27384,1543
5831,832,27576,1527
5965,952,27796,1539
6109,1064,28000,1536
6235,1166,28185,1545
6354,1274,28412,1550
6496,1389,28620,1555
6642,1498,28829,1567
6798,1613,29039,1588
6988,1725,29234,1599
7097,1595,29386,1519
7216,1485,29490,1455
7373,1365,29640,1382
7533,1247,29782,1301
7659,1139,29901,1260
7827,1019,30026,1195
7979,911,30161,1132
8121,793,30276,1057
8291,685,30412,999
8452,576,30544,969
8632,557,30655,943
8754,541,30621,919
8990,537,30582,899
9181,542,30555,878
9373,547,30513,846
9589,549,30484,852
9790,549,30460,840
10000,559,30410,827
10206,560,30371,812
10406,568,30342,815
10625,574,30310,828
10805,593,30331,843
10738,534,30587,789
10697,483,30839,755
10663,430,31083,742
10611,383,31347,724
10587,332,31609,713
10538,283,31845,698
10504,238,32106,689
10465,192,32361,674
10424,147,32590,660
10391,106,32872,677
10418,91,33092,693
10480,187,33121,640
10550,304,33161,590
10643,436,33231,557
10715,543,33264,540
10776,669,33312,495
10879,797,33359,472
10975,923,33420,446
11041,1042,33458,417
11127,1171,33496,413
11184,1306,33557,407
11314,1367,33599,399
11581,1306,33656,363
11855,1263,33680,313
12112,1219,33739,290
12383,1181,33780,264
12650,1143,33833,229
12922,1098,33894,213
13184,1060,33932,195
13442,1028,33975,168
13731,999,34023,162
13989,964,34067,173
14252,957,34217,178
14515,967,34582,170
14758,984,34901,181
15019,1016,35264,193
15252,1048,35635,220
15489,1071,35965,239
15736,1101,36326,277
15991,1128,36691,309
16268,1162,37037,339
16485,1193,37370,371
16772,1235,37734,410
16942,1251,37946,420
17026,1303,37946,392
17115,1389,37924,370
17206,1461,37917,349
17303,1530,37924,337
17392,1613,37907,314
17461,1692,37920,299
17542,1769,37891,284
17624,1857,37899,274
17718,1946,37882,256
17804,2040,37886,272
18062,2083,37875,270
18572,2108,37856,231
19086,2163,37857,200
19558,2217,37859,178
20066,2285,37844,150
20591,2353,37835,125
21054,2422,37836,108
