Co,Si,Pt,O,Ni,Gd,Al
245,0,0,2120,285,5593,261
235,0,0,2223,268,5582,348
220,0,0,2330,254,5588,444
208,0,0,2453,235,5583,535
194,0,0,2566,226,5582,626
187,0,0,2650,218,5586,712
178,0,0,2756,210,5587,809
176,0,0,2874,219,5589,905
273,0,0,2926,213,5581,864
434,0,0,2983,209,5578,803
585,0,0,3010,204,5585,754
737,0,0,3049,206,5583,691
907,0,0,3095,204,5579,639
1066,0,0,3138,206,5590,579
1230,0,0,3173,206,5596,522
1384,0,0,3211,204,5584,472
1553,0,0,3245,207,5587,424
1716,0,0,3298,213,5582,375
1880,0,0,3350,219,5601,366
1789,0,0,3495,202,5561,337
1747,0,0,3632,185,5520,321
1692,0,0,3789,171,5480,319
1650,0,0,3937,155,5432,314
1600,0,0,4091,140,5394,313
1547,0,0,4252,124,5356,300
1507,0,0,4412,107,5303,296
1458,0,0,4539,93,5278,290
1411,0,0,4698,80,5231,286
1370,0,0,4860,63,5193,293
1359,0,0,4960,62,5155,304
1339,0,0,4865,55,5151,282
1334,0,0,4778,47,5140,265
1323,0,0,4687,42,5138,239
1312,0,0,4566,36,5125,223
1317,0,0,4474,29,5121,209
1300,0,0,4366,22,5122,198
1289,0,0,4272,15,5100,182
1279,0,0,4164,8,5106,167
1278,0,0,4065,0,5102,152
1277,0,0,3962,0,5092,141
1251,0,0,3880,0,5079,140
1155,0,0,3822,12,5042,129
1050,0,0,3769,45,5014,127
943,0,0,3708,79,4979,129
837,0,0,3644,119,4947,127
735,0,0,3570,153,4913,135
632,0,0,3517,192,4874,136
543,0,0,3454,225,4853,140
446,0,0,3390,259,4819,151
346,0,0,3322,296,4789,152
253,0,0,3255,337,4758,170
210,0,0,3240,338,4750,170
245,0,0,3295,305,4780,152
281,0,0,3344,272,4802,140
326,0,0,3375,246,4838,126
362,0,0,3422,217,4868,109
401,0,0,3474,185,4897,98
443,0,0,3501,160,4922,81
478,0,0,3538,131,4944,73
523,0,0,3587,104,4982,60
564,0,0,3646,73,4998,55
616,0,0,3673,61,5029,50
601,0,0,3749,57,5018,48
